DATE,IPUTIL
1939-01-01,3.3284
1939-02-01,3.3538
1939-03-01,3.4300
1939-04-01,3.4554
1939-05-01,3.4809
1939-06-01,3.5063
1939-07-01,3.5063
1939-08-01,3.5317
1939-09-01,3.6333
1939-10-01,3.6333
1939-11-01,3.6841
1939-12-01,3.6841
1940-01-01,3.7095
1940-02-01,3.7603
1940-03-01,3.7857
1940-04-01,3.7857
1940-05-01,3.8366
1940-06-01,3.8620
1940-07-01,3.8620
1940-08-01,3.9128
1940-09-01,3.9382
1940-10-01,3.9890
1940-11-01,4.0906
1940-12-01,4.0906
1941-01-01,4.1414
1941-02-01,4.1669
1941-03-01,4.2431
1941-04-01,4.2685
1941-05-01,4.3193
1941-06-01,4.3701
1941-07-01,4.4209
1941-08-01,4.4463
1941-09-01,4.4972
1941-10-01,4.5226
1941-11-01,4.5480
1941-12-01,4.6496
1942-01-01,4.7512
1942-02-01,4.7766
1942-03-01,4.802
1942-04-01,4.8275
1942-05-01,4.802
1942-06-01,4.8275
1942-07-01,4.9545
1942-08-01,5.0053
1942-09-01,5.0307
1942-10-01,5.0561
1942-11-01,5.1069
1942-12-01,5.1832
1943-01-01,5.1578
1943-02-01,5.2086
1943-03-01,5.2594
1943-04-01,5.3102
1943-05-01,5.3356
1943-06-01,5.4372
1943-07-01,5.4372
1943-08-01,5.4881
1943-09-01,5.6151
1943-10-01,5.6405
1943-11-01,5.6913
1943-12-01,5.6913
1944-01-01,5.6659
1944-02-01,5.7167
1944-03-01,5.8184
1944-04-01,5.8692
1944-05-01,5.8438
1944-06-01,5.8184
1944-07-01,5.7421
1944-08-01,5.7930
1944-09-01,5.7929
1944-10-01,5.7929
1944-11-01,5.7929
1944-12-01,5.8184
1945-01-01,5.9200
1945-02-01,5.9454
1945-03-01,5.8946
1945-04-01,5.8946
1945-05-01,5.9454
1945-06-01,5.9962
1945-07-01,5.9454
1945-08-01,5.8692
1945-09-01,5.7929
1945-10-01,5.7929
1945-11-01,5.7929
1945-12-01,5.8692
1946-01-01,5.8438
1946-02-01,5.8692
1946-03-01,5.8692
1946-04-01,5.9708
1946-05-01,5.9708
1946-06-01,5.9962
1946-07-01,6.1233
1946-08-01,6.2503
1946-09-01,6.3519
1946-10-01,6.4281
1946-11-01,6.4535
1946-12-01,6.4790
1947-01-01,6.2503
1947-02-01,6.3011
1947-03-01,6.3519
1947-04-01,6.4790
1947-05-01,6.5806
1947-06-01,6.6060
1947-07-01,6.6568
1947-08-01,6.7330
1947-09-01,6.8093
1947-10-01,6.8601
1947-11-01,6.9109
